,Primary Instructor,Course Title,Subject,Number,Overall_GPA,Total_Students,A_range,B_range,C_range,D_range,F_range,YearTerm
83,"Liu, Yichen",Calculus II,MATH,231,3.301887351778656,45,48.715415019762844,33.399209486166015,15.711462450592885,2.1739130434782608,0.0,2
84,"Livingston, Julia R",Principles of Composition,RHET,105,3.357083333333333,172,58.658008658008654,30.3030303030303,5.8441558441558445,0.5681818181818182,4.626623376623377,8
85,"Longfield, Stephen J",Calculus II,MATH,231,2.7925,24,33.33333333333333,29.166666666666668,29.166666666666668,8.333333333333332,0.0,1
86,"Luecke, Kiran D",Linear Algebra w Computat Appl,MATH,257,3.1941842481001053,1095,48.32612312350369,31.93107876294008,13.897575464432002,4.4771095367969345,1.368113112327299,4
87,"Luttfring, Sara D",Principles of Composition,RHET,105,3.707142857142857,42,80.95238095238096,16.666666666666664,2.380952380952381,0.0,0.0,2
88,"Martinez Robles, Jaime Ni",Calculus II,MATH,231,2.881238095238095,210,36.666666666666664,32.857142857142854,18.095238095238095,9.523809523809524,2.857142857142857,1
89,"McCarthy, Randy",Calculus II,MATH,231,2.6640140300739383,839,39.00208097659064,23.236977340121157,16.63842211365357,9.611544095095628,11.510975474539002,4
90,"McCarthy, Randy",Linear Algebra w Computat Appl,MATH,257,3.434810275917871,200,62.73547507724723,25.069644689897853,8.780661312306881,2.6205681268972407,0.7936507936507936,3
91,"McCormick, Julie M",Principles of Composition,RHET,105,3.5353318903318907,64,77.92207792207792,15.728715728715727,4.761904761904762,1.5873015873015872,0.0,3
92,"McCourt, Grace",Calculus II,MATH,231,3.3177272727272733,22,54.54545454545454,22.727272727272727,18.181818181818183,4.545454545454546,0.0,1
93,"McGrath, Patrick J",Principles of Composition,RHET,105,3.5318181818181817,22,77.27272727272727,18.181818181818183,0.0,4.545454545454546,0.0,1
94,"McGuire, Lee",Principles of Composition,RHET,105,3.7218181818181817,110,78.18181818181817,21.818181818181817,0.0,0.0,0.0,5
95,"Mcwhorter, Sara L",Principles of Composition,RHET,105,3.122835497835498,43,27.922077922077918,55.844155844155836,13.852813852813853,0.0,2.380952380952381,2
96,"Melko, Erica M",Principles of Composition,RHET,105,3.6676190476190476,21,80.95238095238095,14.285714285714285,4.761904761904762,0.0,0.0,1
97,"Mesnard, Natalie A",Principles of Composition,RHET,105,2.9842857142857144,21,19.047619047619047,61.904761904761905,19.047619047619047,0.0,0.0,1
98,"Miles, Joseph B",Calculus II,MATH,231,2.705275229357798,218,26.605504587155966,33.02752293577982,28.899082568807337,11.009174311926607,0.45871559633027525,1
99,"Moore, John L",Principles of Composition,RHET,105,3.4376190476190476,42,61.90476190476191,30.95238095238095,7.142857142857142,0.0,0.0,2
100,"Morris, David",Principles of Composition,RHET,105,3.606515151515151,66,69.69696969696969,28.787878787878793,0.0,0.0,1.5151515151515154,3
101,"Mortensen, Karen P",Calculus II,MATH,231,2.8323502304147468,217,23.502304147465438,43.31797235023041,26.72811059907834,3.686635944700461,2.7649769585253456,1
102,"Moss, Andrew P",Principles of Composition,RHET,105,3.578030303030303,128,72.04184704184705,20.995670995670995,3.86002886002886,0.0,3.1024531024531026,6
103,"Muncaster, Robert G",Calculus II,MATH,231,2.776536796536797,231,19.913419913419915,51.515151515151516,19.480519480519483,6.493506493506493,2.5974025974025974,1
104,"Murley, Cassie L",Calculus II,MATH,231,2.24,25,32.0,8.0,24.0,24.0,12.0,1
105,"Murphy, Robert F",Calculus II,MATH,231,2.5680050050050047,492,24.67967967967968,34.28428428428428,23.46846846846847,9.31931931931932,8.248248248248249,2
106,"Musser, John J",Principles of Composition,RHET,105,3.3636363636363638,22,50.0,36.36363636363637,13.636363636363635,0.0,0.0,1
107,"Naiman, Jill P",Data Visualization,IS,445,3.8653359968201104,432,92.03055124989584,4.415797390625659,2.6961742587218263,0.32793209876543206,0.5295450019912386,8
108,"Nardi, Richard",Principles of Composition,RHET,105,3.2866666666666666,21,66.66666666666666,14.285714285714285,14.285714285714285,0.0,4.761904761904762,1
