Course Number,CRN,Type,Section,Time,Days,Location,Instructor
STAT 107,71685,Laboratory-Discussion,Y16,09:30 AM - 10:50 AM,R,3018 - Campus Instructional Facility,
STAT 107,71686,Laboratory-Discussion,Y17,08:00 AM - 09:20 AM,R,136 - Armory,
STAT 107,71687,Laboratory-Discussion,Y18,08:00 AM - 09:20 AM,R,300 - Noyes Laboratory,
STAT 107,71688,Laboratory-Discussion,Y19,12:30 PM - 01:50 PM,R,242 - Bevier Hall,
STAT 107,71690,Laboratory-Discussion,Y20,12:30 PM - 01:50 PM,R,147 - Loomis Laboratory,
STAT 107,78208,Laboratory-Discussion,Y21,02:00 PM - 03:20 PM,R,215 - Gregory Hall,
STAT 107,78209,Laboratory-Discussion,Y22,02:00 PM - 03:20 PM,R,4101 - Materials Science & Eng Bld,
STAT 107,78210,Laboratory-Discussion,Y23,03:30 PM - 04:50 PM,R,1065 - Lincoln Hall,
STAT 107,78211,Laboratory-Discussion,Y24,03:30 PM - 04:50 PM,R,104 - English Building,
STAT 107,78726,Laboratory-Discussion,Y25,03:30 PM - 04:50 PM,R,137 - Armory,
STAT 107,78729,Laboratory-Discussion,Y26,03:30 PM - 04:50 PM,R,303 - English Building,
STAT 107,78732,Laboratory-Discussion,Y27,05:00 PM - 06:20 PM,R,313 - Davenport Hall,
STAT 107,78735,Laboratory-Discussion,Y28,05:00 PM - 06:20 PM,R,312 - Davenport Hall,
STAT 107,78774,Laboratory-Discussion,Y29,05:00 PM - 06:20 PM,R,336 - Davenport Hall,
STAT 107,79400,Laboratory-Discussion,Y30,12:30 PM - 01:50 PM,F,147 - Loomis Laboratory,
STAT 107,79402,Laboratory-Discussion,Y31,12:30 PM - 01:50 PM,F,137 - Henry Administration Bldg,
STAT 107,79401,Laboratory-Discussion,Y32,12:30 PM - 01:50 PM,F,137 - Armory,
STAT 107,79403,Laboratory-Discussion,Y33,02:00 PM - 03:20 PM,F,214 - Davenport Hall,
STAT 107,79396,Laboratory-Discussion,Y34,02:00 PM - 03:20 PM,F,"G24 - Literatures, Cultures, & Ling",
STAT 107,79398,Laboratory-Discussion,Y35,02:00 PM - 03:20 PM,F,119 - English Building,
STAT 107,79397,Laboratory-Discussion,Y36,02:00 PM - 03:20 PM,F,307 - David Kinley Hall,
STAT 107,79487,Laboratory-Discussion,Y37,03:30 PM - 04:50 PM,F,"G32 - Literatures, Cultures, & Ling",
STAT 107,71674,Laboratory-Discussion,Y38,03:30 PM - 04:50 PM,F,"G30 - Literatures, Cultures, & Ling",
STAT 107,71680,Laboratory-Discussion,Y39,03:30 PM - 04:50 PM,F,"G36 - Literatures, Cultures, & Ling",
STAT 107,71689,Laboratory-Discussion,Y40,03:30 PM - 04:50 PM,F,313 - Davenport Hall,
STAT 107,78212,Laboratory-Discussion,Y41,03:30 PM - 04:50 PM,F,"1136 - Literatures, Cultures, & Ling",
STAT 107,78213,Laboratory-Discussion,Y42,05:00 PM - 06:20 PM,F,313 - Davenport Hall,
STAT 107,78771,Laboratory-Discussion,Y43,05:00 PM - 06:20 PM,F,"G32 - Literatures, Cultures, & Ling",
STAT 107,79399,Laboratory-Discussion,Y44,05:00 PM - 06:20 PM,F,312 - Davenport Hall,
